genus,code6,code4,codeUSDA,priorDist,priorVDist,minDist,maxDist,minDiam,maxDiam,maxFec
default,NA,NA,NA,20,50,10,35,10,40,1.00E+07
abies,NA,NA,NA,20,20,12,30,10,30,1.00E+05
acer,NA,NA,NA,17,20,8,25,7,30,1.00E+05
ailanthus,NA,NA,NA,17,30,8,25,5,10,1.00E+06
amelanchier,NA,NA,NA,6,30,5,15,5,10,10000
betula,NA,NA,NA,25,30,10,35,15,40,8.00E+06
carpinus,NA,NA,NA,8,30,2,15,5,10,10000
carya,NA,NA,NA,8,30,5,18,20,50,50000
celtis,NA,NA,NA,10,30,5,35,15,40,5.00E+05
cercis,NA,NA,NA,6,30,2,20,8,14,10000
chionanthus,NA,NA,NA,5,30,4,15,8,15,10000
cornus,NA,NA,NA,7,8,2,20,5,10,10000
fagus,NA,NA,NA,9,30,6,18,20,60,1.00E+05
fraxinus,NA,NA,NA,18,30,8,25,15,45,1.00E+05
ilex,NA,NA,NA,8,30,12,15,8,15,10000
juglans,NA,NA,NA,6,5,12,20,20,60,1.00E+05
juniperus,NA,NA,NA,6,30,12,20,8,20,1.00E+05
liquidambar,NA,NA,NA,15,30,8,25,15,40,1.00E+05
liriodendron,NA,NA,NA,24,30,8,35,15,50,5.00E+05
magnolia,NA,NA,NA,6,5,2,20,15,60,1.00E+05
morus,NA,NA,NA,3,10,2,15,15,20,10000
nyssa,NA,NA,NA,6,30,3,20,20,60,1.00E+05
ostrya,NA,NA,NA,6,20,2,20,5,10,10000
oxydendrum,NA,NA,NA,6,20,4,20,15,40,1.00E+06
picea,NA,NA,NA,15,30,5,25,5,30,3.00E+06
pinus,NA,NA,NA,20,30,18,33,14,40,1.00E+06
platanus,NA,NA,NA,30,30,20,60,15,50,1.00E+06
prunus,NA,NA,NA,6,30,4,25,15,50,1.00E+05
pseudotsuga,NA,NA,NA,25,10,20,30,20,40,6.00E+06
quercus,NA,NA,NA,6,30,5,15,20,60,1.00E+05
robinia,NA,NA,NA,6,20,4,20,15,30,1.00E+05
sassafras,NA,NA,NA,6,20,4,20,20,40,1.00E+05
sequoia,NA,NA,NA,15,20,8,20,50,80,6.00E+06
sorbus,NA,NA,NA,6,12,5,15,4,15,50000
thuja,NA,NA,NA,15,30,4,35,20,50,5.00E+05
tilia,NA,NA,NA,8,30,5,25,20,35,1.00E+05
tsuga,NA,NA,NA,10,30,8,25,20,40,1.00E+06
ulmus,NA,NA,NA,20,30,10,35,15,35,1.00E+05
abies,abiesConcol,abieConc,ABCO,30,30,15,55,20,50,80000
abies,abiesLasioc,abieLasi,ABLA,30,30,15,55,20,50,80000
abies,abiesMagnif,abieMagn,ABMA,30,30,15,55,20,50,1.00E+05
acer,acerPensyl,acerPens,NA,3,5,1,8,2,10,500
acer,acerRubrum,acerRubr,NA,17,30,8,25,7,60,1.00E+05
acer,acerSacchn,acerSacn,NA,17,30,8,25,7,60,1.00E+05
acer,acerSaccha,acerSacc,NA,17,30,8,25,7,60,1.00E+05
acer,acerSpicat,acerSpic,NA,4,5,2,8,2,12,500
betula,betulaNeoala,betuNeoa,BENE4,12,10,8,20,8,20,1.00E+06
calocedrus,caloceDecurr,caloDecu,CADE,20,40,10,50,30,70,1.00E+06
callitropsis,callitnootka,callnoot,CANO9,25,20,13,35,20,50,5.00E+05
picea,piceaEngelm,piceEnge,PIEN,25,30,20,35,15,40,2.00E+06
picea,piceaSitche,piceSitc,PIST,25,30,20,35,15,40,2.00E+06
pinus,pinusBanksi,pinuBank,PIBA2,20,30,10,25,8,25,1.00E+06
pinus,pinusContor,pinuCont,PICO,25,30,18,40,8,25,80000
pinus,pinusEchina,pinuEchi,PIEC,20,30,15,30,15,40,3.00E+05
pinus,pinusFlexil,pinuFlex,PIFE2,22,10,16,30,20,35,50000
pinus,pinusJeffre,pinuJeff,PIJE,35,50,16,50,30,40,1.00E+05
pinus,pinusLamber,pinuLamb,PILA,25,50,16,50,30,40,1.00E+05
pinus,pinusMonoph,pinuMono,PIMO,25,50,16,33,20,40,5.00E+05
pinus,pinusPonder,pinuPond,PIPO,25,40,16,30,12,40,50000
pinus,pinusResino,pinuResi,PIRE,20,30,15,30,18,40,50000
pinus,pinusRigida,pinuRigi,PIRI,20,30,15,30,18,40,50000
pinus,pinusStrobu,pinuStro,PIST,20,30,15,30,18,40,80000
pinus,pinusTaeda,pinuTaed,PITA,20,30,15,30,15,40,1.00E+05
pinus,pinusVirgin,pinuVirg,PIVI2,18,30,10,28,8,25,7.00E+05
pseudotsuga,pseudoMenzie,pseuMenz,PSME,25,10,20,30,20,40,6.00E+06
quercus,quercuAgrifo,querAgri,QUAG,8,20,2,10,5,15,1.00E+05
quercus,quercuMargar,querMarg,QUMA13,8,20,2,10,5,15,2.00E+05
quercus,quercuChryso,querChry,QUCH2,8,20,2,10,5,15,2.00E+05
quercus,quercuKellog,querKell,QUKE,8,20,2,10,5,15,1.00E+05
quercus,quercuParvul,querParv,QUPA8,8,20,2,10,5,15,1.00E+05
sequoia,sequoiSempir,sequSemp,SESE3,15,20,8,20,50,80,6.00E+06
thuja,thujaOccide,thujOcci,THOC2,15,10,5,25,20,50,5.00E+05
thuja,thujaPlicat,thujPlic,THPL,25,20,13,35,20,50,5.00E+05
tsuga,tsugaHetero,tsugHete,TSHE,30,30,20,40,20,50,5.00E+06
tsuga,tsugaMerten,tsugMert,TSME,30,30,20,40,20,50,5.00E+06